wavenumber / cm-1,Absorbance
3865.852,-0.002105625
3865.731,-0.002187854
3865.611,-0.002235753
3865.49,-0.002233347
3865.37,-0.002172952
3865.25,-0.002057085
3865.129,-0.001898467
3865.008,-0.001716426
3864.888,-0.001533714
3864.767,-0.001370611
3864.647,-0.001242305
3864.526,-0.001159633
3864.406,-0.001127049
3864.285,-0.001143011
3864.165,-0.001199715
3864.044,-0.001284428
3863.924,-0.001382502
3863.803,-0.001479926
3863.683,-0.001568381
3863.562,-0.001645595
3863.441,-0.001714611
3863.321,-0.001780778
3863.2,-0.001847265
3863.08,-0.001913246
3862.959,-0.001973545
3862.839,-0.002021237
3862.718,-0.002050489
3862.598,-0.002059525
3862.477,-0.002050819
3862.357,-0.002028921
3862.236,-0.001997062
3862.116,-0.001955766
3861.995,-0.001902228
3861.875,-0.00183311
3861.754,-0.001748141
3861.634,-0.001653187
3861.513,-0.001559203
3861.393,-0.001479133
3861.272,-0.001422795
3861.151,-0.001392344
3861.031,-0.001382502
3860.91,-0.001382799
3860.79,-0.001382502
3860.669,-0.001374079
3860.549,-0.001356078
3860.428,-0.001332493
3860.308,-0.001309932
